id,name,color,abbrev,rgb
1,Public,"0.9, 0.9, 0.9",Pub,#E6E6E6
2,Zirax,"0.9, 0.2, 0.2",Zrx,#E63333
3,Predator,"0.9, 0.75, 0",Prd,#E6BF00
4,Prey,"0, 0.75, 0.75",Pry,#00BFBF
5,Admin,"0, 0.9, 0.9",Adm,#00E6E6
6,Talon,"0.2, 0.9, 0.2",Tal,#33E633
7,Polaris,"0.9, 0.6, 0.2",Pol,#E69933
8,Alien,"0.9, 0.9, 0.9",Aln,#E6E6E6
9,DESC,"0.9, 0.9, 0.9",DSC,#E6E6E6
10,TheLegacy,"0, 1, 0.67",Lgc,#00FFAB
12,Progenitor,"0.9, 0.9, 0.9",Prg,#E6E6E6
13,Void,"0, 0, 0",Voi,#000000
14,GLaD,"0.2, 0.2, 0.9",GLD,#3333E6
15,Civilian,"0.9, 0.9, 0.9",Civ,#E6E6E6
27,Warlord,"0.9, 0.2, 0.2",War,#E63333
31,NTY,"0.9, 0.2, 0.2",NTY,#E63333
32,Hishkal,"0.9, 0.2, 0.2",HIS,#E63333
40,DarkFaction,"0.9, 0.2, 0.2",DRK,#E63333
11,UCH,"0.2, 0.2, 0.9",UCH,#3333E6
16,Pirates,"0.8, 0.8, 0",Pir,#CCCC00
17,Kriel,"0.5, 0, 0.8",Kri,#8000CC
18,Trader,"0.6, 1, 1",Tra,#99FFFF
19,Colonists,"0.9, 0.9, 0.9",Col,#E6E6E6
20,Tesch,"0.9, 0.2, 0.6",Tsc,#E63399
28,Farr,"1, 0.9, 0.7",BoF,#FFE6B2
29,Wastelanders,"0.7, 0.4, 0.3",WST,#B2664C
30,ARC,"1, 0.9, 0.7",ARC,#FFE6B2
33,ArkenianRepublic,"0.9, 0.6, 0.2",Ark,#E69933
34,PrennFederation,"0.6, 1, 1",Pre,#99FFFF
35,Helios,"0.5, 0.5, 0.5",HLS,#808080
36,Ravagers,"0.50, 0, 0",RAV,#800000
37,Karana,"0.48, 0.51, 0.46",KRN,#7A8275
38,Tresari,"0.7, 1, 0.4",TRS,#B2FF66
21,Xenu,"0.9, 0.2, 0.2",Xen,#E63333
22,Rados,"0.9, 0.2, 0.2",Rad,#E63333
23,Epsilon,"0.9, 0.2, 0.2",Eps,#E63333
24,Ghyst,"0.9, 0.2, 0.2",Ghy,#E63333
25,Serdu,"0.9, 0.2, 0.2",Ser,#E63333
26,Abyssal,"0.9, 0.2, 0.2",Aby,#E63333
39,PlayerAssist,"0.0, 0.4, 0.4",PDH,#006666
41,STRY,"0.3, 0.3, 0.3",STR,#4C4C4C
